summonerName,championId,role,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,totalMinionsKilled,win,dragons,barons,turretsKilled
I LOVE SHALLTEAR,233,JUNGLE,7,5,3,15738,34659,11163,14,False,2.0,0.0,2.0
Papa Topou,134,MIDDLE,2,5,2,22641,20998,10063,217,False,2.0,0.0,2.0
VALERIA BOUNZE,51,BOTTOM,1,6,2,15753,19263,9583,228,False,2.0,0.0,2.0
Léchu,902,UTILITY,0,7,7,3299,21233,6156,29,False,2.0,0.0,2.0
DisabIed Jungler,126,TOP,4,1,0,11583,6819,8647,147,True,1.0,0.0,4.0
Belle Delphine,32,JUNGLE,4,3,9,8008,16641,6646,7,True,1.0,0.0,4.0
Drowned God Pyke,517,MIDDLE,7,5,3,12011,13166,6910,88,True,1.0,0.0,4.0
lainpilled,236,BOTTOM,5,2,4,8161,5985,6111,98,True,1.0,0.0,4.0
 Keria Jr,267,UTILITY,1,0,11,3909,3389,4734,13,True,1.0,0.0,4.0
RW PONOS,86,TOP,3,4,0,5999,12621,4717,76,False,0.0,0.0,0.0
I LOVE SHALLTEAR,233,JUNGLE,1,5,6,8181,16153,5969,17,False,0.0,0.0,0.0
KsSzyna,26,MIDDLE,4,2,2,7957,7688,6113,102,False,0.0,0.0,0.0
soul xo,21,BOTTOM,3,5,1,7479,10478,5800,112,False,0.0,0.0,0.0
hayabusaro,16,UTILITY,0,5,5,2266,6583,3774,13,False,0.0,0.0,0.0
Jokki24,92,TOP,3,11,1,14205,23679,7482,125,False,1.0,0.0,1.0
egomaniac,107,JUNGLE,2,6,7,11550,29349,7688,18,False,1.0,0.0,1.0
Iqushi,55,MIDDLE,9,7,0,21859,22039,9371,150,False,1.0,0.0,1.0
Central Attack,110,BOTTOM,1,2,4,8252,10370,7803,178,False,1.0,0.0,1.0
cute kitty,235,UTILITY,0,3,8,3444,8252,5695,25,False,1.0,0.0,1.0
Asymptotes,154,TOP,12,2,6,22848,33284,12390,172,True,2.0,1.0,5.0
I LOVE SHALLTEAR,121,JUNGLE,4,3,11,14646,23522,9534,9,True,2.0,1.0,5.0
small circle,238,MIDDLE,10,4,2,21534,15695,13241,202,True,2.0,1.0,5.0
baKKA,22,BOTTOM,1,4,5,9554,11425,7833,165,True,2.0,1.0,5.0
nataliuauaua,902,UTILITY,2,2,10,3420,7013,6717,24,True,2.0,1.0,5.0
EIMAI KOTOPOULO,114,TOP,11,3,8,35576,34444,14335,199,True,2.0,1.0,9.0
Shma Israel,9,JUNGLE,8,3,8,16373,35843,11882,22,True,2.0,1.0,9.0
XD RAMZES XD,236,BOTTOM,7,6,3,16314,18844,11008,180,True,2.0,1.0,9.0
mr d3s,777,MIDDLE,4,5,8,16754,23744,11042,186,True,2.0,1.0,9.0
ThePlagueRaTaTa,267,UTILITY,1,4,16,7721,13248,7872,18,True,2.0,1.0,9.0
Uchiha Madarα,27,TOP,2,10,3,16194,27700,8206,170,False,2.0,0.0,2.0
,221,MIDDLE,6,7,5,32957,24871,11661,216,False,2.0,0.0,2.0
I LOVE SHALLTEAR,233,JUNGLE,11,5,4,15666,26447,11651,40,False,2.0,0.0,2.0
neXt Pităăăr,147,BOTTOM,2,6,7,10205,14672,7962,154,False,2.0,0.0,2.0
Blam,53,UTILITY,0,5,8,7647,19464,5603,26,False,2.0,0.0,2.0
MYSTERIOUS ITEM,82,TOP,10,7,6,32987,35707,13982,195,True,1.0,0.0,10.0
ContuletzuTOXIC,59,JUNGLE,4,6,18,16772,27787,13630,22,True,1.0,0.0,10.0
Dziękizazamiane,268,MIDDLE,6,5,7,24376,21243,14205,221,True,1.0,0.0,10.0
Central Attack,81,BOTTOM,11,4,14,46851,19848,16774,253,True,1.0,0.0,10.0
LineaR,89,UTILITY,3,4,15,16614,38858,10434,57,True,1.0,0.0,10.0
sılent,106,TOP,6,8,9,29194,45130,14658,234,False,4.0,1.0,5.0
I LOVE SHALLTEAR,233,JUNGLE,10,5,9,28896,40828,15697,49,False,4.0,1.0,5.0
,238,MIDDLE,4,9,10,19186,31010,12451,223,False,4.0,1.0,5.0
el ratino,29,BOTTOM,5,8,9,27795,26610,11864,184,False,4.0,1.0,5.0
axnixv,235,UTILITY,1,4,19,12321,20420,9814,35,False,4.0,1.0,5.0
pawcio majster,122,TOP,4,6,6,10130,27253,10749,182,False,1.0,0.0,3.0
βundyra,421,JUNGLE,11,7,12,23880,49907,13599,5,False,1.0,0.0,3.0
Dashargor,55,MIDDLE,7,5,7,27936,26321,11327,205,False,1.0,0.0,3.0
Central Attack,21,BOTTOM,6,8,9,23171,22279,11519,208,False,1.0,0.0,3.0
,40,UTILITY,1,5,18,9423,19646,7622,31,False,1.0,0.0,3.0
Modri23,887,TOP,11,3,2,27819,21553,15166,214,True,3.0,1.0,8.0
