Player Name,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Grenade Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammate / Round,Saved Teammates / Round,Rating 2.0
drg,3292,57.2%,3844,0.86,67.2,5.1,245,5528,0.60,0.19,0.70,0.15,0.11,0.98
mASKED,4822,40.0%,5279,0.91,66.9,4.2,355,7874,0.61,0.16,0.67,0.10,0.08,0.98
buda,2746,54.7%,3061,0.90,66.7,4.8,211,4698,0.58,0.18,0.65,0.11,0.10,0.98
K1-FiDa,2200,48.4%,2515,0.87,65.9,3.8,164,3798,0.58,0.19,0.66,0.11,0.09,0.97
beastik,5040,57.3%,5676,0.89,67.2,4.1,376,8426,0.60,0.17,0.67,0.10,0.08,0.97
seized,3216,49.8%,3637,0.88,66.7,4.5,238,5414,0.59,0.17,0.67,0.11,0.08,0.96
CSO,2703,58.1%,3065,0.88,69.9,5.0,198,4411,0.61,0.16,0.69,0.10,0.09,0.96
tiziaN,3221,53.1%,3705,0.87,70.6,5.4,234,5269,0.61,0.18,0.70,0.11,0.08,0.96
aVN,5998,53.2%,6517,0.92,65.5,3.5,441,9940,0.60,0.16,0.66,0.11,0.11,0.96
MAJ3R,2134,49.1%,2391,0.89,64.7,6.5,167,3765,0.57,0.17,0.64,0.09,0.07,0.96
Vert,2140,49.5%,2492,0.86,66.4,4.6,166,3694,0.58,0.19,0.67,0.12,0.10,0.96
NBK-,2270,55.5%,2748,0.83,70.2,3.2,167,3879,0.59,0.19,0.71,0.11,0.07,0.95
SENER1,2313,50.5%,2759,0.84,66.8,7.5,180,4038,0.57,0.20,0.68,0.12,0.10,0.95
nafany,2958,55.8%,3527,0.84,68.6,4.4,230,4912,0.60,0.18,0.72,0.11,0.07,0.95
NEKIZ,2574,51.2%,3133,0.82,68.0,4.1,195,4339,0.59,0.19,0.72,0.11,0.08,0.95
MiGHTYMAX,3415,54.2%,4092,0.83,65.1,5.9,277,6126,0.56,0.19,0.67,0.11,0.08,0.94
ninjaZ,3012,49.1%,3672,0.82,67.6,5.5,241,5246,0.57,0.19,0.70,0.10,0.08,0.94
RICIOLI,4140,44.7%,5004,0.83,67.0,5.2,327,7280,0.57,0.19,0.69,0.11,0.08,0.93
tOPZ,2269,44.4%,2597,0.87,64.7,5.4,168,3937,0.58,0.16,0.66,0.11,0.11,0.93
lunAtic,2613,44.3%,3209,0.81,65.2,5.8,204,4658,0.56,0.20,0.69,0.14,0.10,0.93
Golden,3761,60.3%,4395,0.86,66.0,5.1,288,6345,0.59,0.17,0.69,0.10,0.09,0.93
sense,3035,50.7%,3569,0.85,66.3,3.5,231,5221,0.58,0.18,0.68,0.10,0.09,0.93
BTN,3624,53.6%,4417,0.82,68.9,4.9,266,6103,0.59,0.18,0.72,0.11,0.09,0.92
BRACE,1894,51.4%,2226,0.85,63.7,5.9,157,3323,0.57,0.16,0.67,0.09,0.09,0.92
Furlan,2588,53.2%,3284,0.79,67.9,7.9,196,4502,0.57,0.20,0.73,0.12,0.08,0.92
ben1337,2826,49.0%,3471,0.81,63.5,5.9,226,5028,0.56,0.19,0.69,0.13,0.11,0.91
karrigan,2415,55.7%,3085,0.78,64.1,5.1,191,4312,0.56,0.18,0.72,0.11,0.06,0.90
CutzMeretz,2529,52.1%,3086,0.82,69.1,4.9,193,4194,0.60,0.16,0.74,0.10,0.07,0.90
stormzyn,2875,55.4%,3690,0.78,63.6,4.3,241,5204,0.55,0.16,0.71,0.11,0.08,0.88
